item,sector,region,policy,value,co2p,scc
Emissions,EITE,ROW,ABR,0.5467189761368063,25,250
Emissions,EITE,ROW,ibr,0.33526408954211995,25,250
Emissions,EITE,ROW,bcr,0.32358371103664574,25,250
Emissions,non-EITE,chn,LSR,0.04216766466669242,25,250
Emissions,non-EITE,chn,OBR,0.038260749178054,25,250
Emissions,non-EITE,chn,ABR,0.05457289211754368,25,250
Emissions,non-EITE,chn,ibr,0.04266692543408723,25,250
Emissions,non-EITE,chn,bcr,0.04189550721325208,25,250
Emissions,non-EITE,ind,LSR,0.1230977659467225,25,250
Emissions,non-EITE,ind,OBR,0.12063990594495255,25,250
Emissions,non-EITE,ind,ABR,0.1350044808201778,25,250
Emissions,non-EITE,ind,ibr,0.12656443549867724,25,250
Emissions,non-EITE,ind,bcr,0.12551974472565508,25,250
Emissions,non-EITE,usa,LSR,-22.441854633150392,25,250
Emissions,non-EITE,usa,OBR,-22.385702312952873,25,250
Emissions,non-EITE,usa,ABR,-22.553013848037573,25,250
Emissions,non-EITE,usa,ibr,-22.285151190631012,25,250
Emissions,non-EITE,usa,bcr,-22.29851400165549,25,250
Emissions,non-EITE,EUR,LSR,0.3134027538939099,25,250
Emissions,non-EITE,EUR,OBR,0.3075424170379204,25,250
Emissions,non-EITE,EUR,ABR,0.34668973082547794,25,250
Emissions,non-EITE,EUR,ibr,0.32268678304241405,25,250
Emissions,non-EITE,EUR,bcr,0.3196182716163065,25,250
Emissions,non-EITE,OG20,LSR,0.22018538787638153,25,250
Emissions,non-EITE,OG20,OBR,0.2153456998465142,25,250
Emissions,non-EITE,OG20,ABR,0.25429657983855325,25,250
Emissions,non-EITE,OG20,ibr,0.2473360440311101,25,250
Emissions,non-EITE,OG20,bcr,0.24283851045678873,25,250
Emissions,non-EITE,ROW,LSR,0.18573397369341382,25,250
Emissions,non-EITE,ROW,OBR,0.18607998165538486,25,250
Emissions,non-EITE,ROW,ABR,0.19921959057302985,25,250
Emissions,non-EITE,ROW,ibr,0.21094533160621598,25,250
Emissions,non-EITE,ROW,bcr,0.20753125889243496,25,250
Emissions,all,chn,LSR,0.053542038367360156,25,250
Emissions,all,chn,OBR,0.0455682643291766,25,250
Emissions,all,chn,ABR,0.07811448438865831,25,250
Emissions,all,chn,ibr,0.05115123874879224,25,250
Emissions,all,chn,bcr,0.04992527668297164,25,250
Emissions,all,ind,LSR,0.12310827351860176,25,250
Emissions,all,ind,OBR,0.11417584698665273,25,250
Emissions,all,ind,ABR,0.15287912983739105,25,250
Emissions,all,ind,ibr,0.11989349634355939,25,250
Emissions,all,ind,bcr,0.11841632722424666,25,250
Emissions,all,usa,LSR,-18.29444502535661,25,250
Emissions,all,usa,OBR,-18.205694691402808,25,250
Emissions,all,usa,ABR,-19.432805214811477,25,250
Emissions,all,usa,ibr,-19.093427200422695,25,250
Emissions,all,usa,bcr,-18.967611758195012,25,250
Emissions,all,EUR,LSR,0.31361709063726373,25,250
Emissions,all,EUR,OBR,0.2998050084979331,25,250
Emissions,all,EUR,ABR,0.382569697988866,25,250
